id,link,name,country,genre,status
138378,https://www.metal-archives.com/bands/%C3%96xx%C3%B6_X%C3%B6%C3%B6x/3540335232,Öxxö Xööx,France,Avant-garde/Gothic/Doom Metal,Active
138379,https://www.metal-archives.com/bands/%C5%98et%C4%9Bz/49901,Řetěz,Czechia,Heavy Metal,Split-up
138380,https://www.metal-archives.com/bands/%C5%A0.O.K./3540451764,Š.O.K.,Czechia,Black Metal/Crossover/Hardcore Punk,Split-up
138381,https://www.metal-archives.com/bands/%C5%A0akal/50275,Šakal,Slovakia,Thrash Metal,Split-up
138382,https://www.metal-archives.com/bands/%C5%9Acierwo/3540468075,Ścierwo,Poland,Black Metal,Active
138383,https://www.metal-archives.com/bands/%C5%A0iaurys/26975,Šiaurys,Lithuania,Black Metal,Split-up
138384,https://www.metal-archives.com/bands/%C5%9Eizofren/3540432096,Şizofren,Turkey,Heavy/Thrash Metal,Active
138385,https://www.metal-archives.com/bands/%C5%A0k%C3%A1%C5%8B/3540364151,Škáŋ,United States,Blackened Death Metal,Active
138386,https://www.metal-archives.com/bands/%C5%A0kur/88632,Škur,Croatia,Heavy Metal/Hard Rock,Split-up
138387,https://www.metal-archives.com/bands/%C5%9Al%C4%99%C5%BCa/33601,Ślęża,Poland,Black Metal,Split-up
138388,https://www.metal-archives.com/bands/%C5%A0ljam/3540436344,Šljam,Croatia,Death Metal/Grindcore,Active
138389,https://www.metal-archives.com/bands/%C5%A0mierciesla%C5%AD/16820,Šmiercieslaŭ,Belarus,Black/Death/Thrash Metal,Active
138390,https://www.metal-archives.com/bands/%C5%A0turm/11927,Šturm,Belarus,Black Metal,Split-up
138391,https://www.metal-archives.com/bands/%C5%A0uma/3540472228,Šuma,Croatia,Atmospheric Black Metal,Active
138392,https://www.metal-archives.com/bands/%C5%A0vablast/78760,Švablast,Slovakia,Death Metal/Hardcore,Active
138393,https://www.metal-archives.com/bands/%C5%9Awiatogor/25328,Światogor,Poland,Pagan Black Metal,Unknown
138394,https://www.metal-archives.com/bands/%C5%9Awiniopas/3540275012,Świniopas,Poland,Thrash Metal,Split-up
138395,https://www.metal-archives.com/bands/%C8%9Aepe%C8%99/3540372154,Țepeș,Moldova,Heavy Metal,On hold
138396,https://www.metal-archives.com/bands/The_%27Entropy%27_Epic_Lighting_Rig_Appreciation_Society/3540466020,The 'Entropy' Epic Lighting Rig Appreciation Society,Australia,Progressive Metal,Active
